id;name;number;URL;socket;Product Collection;Code Name;Vertical Segment;Processor Number;Lithography;Use Conditions;Total Cores;Total Threads;Max Turbo Frequency;Turbo Boost Max Technology 3.0 Frequency;Turbo Boost Technology 2.0 Frequency;Processor Base Frequency;Cache;Bus Speed;TDP;Configurable TDP-down Base Frequency;Configurable TDP-down;Thermal Velocity Boost Frequency;Configurable TDP-up Base Frequency;Configurable TDP-up;Deep Learning Boost ( DL Boost) on CPU;# of QPI Links;Scenario Design Power (SDP);# of Performance-cores;# of Efficient-cores;# of Low Power Efficient-cores;Performance-core Max Turbo Frequency;Efficient-core Max Turbo Frequency;Low Power Efficient-core Max Turbo Frequency;Performance-core Base Frequency;Efficient-core Base Frequency;Low Power Efficient-core Base Frequency;Processor Base Power;Maximum Turbo Power;Minimum Assured Power;AI Software Frameworks Supported by CPU;Marketing Status;Launch Date;Embedded Options Available;Use Conditions;Datasheet;Servicing Status;End of Servicing Updates Date;Description;Included Items;Expected Discontinuance;Product Brief;Additional Information;Functional Safety (FuSa) Documentation Available;Product Tuning (Embedded Uses);Max Memory Size (dependent on memory type);Memory Types;Max # of Memory Channels;Max Memory Bandwidth;ECC Memory Supported;Physical Address Extensions;Maximum Memory Speed;GPU Name;Graphics Base Frequency;Graphics Max Dynamic Frequency;Graphics Video Max Memory;Execution Units;4K Support;Max Resolution (HDMI);Max Resolution (DP);Max Resolution (eDP - Integrated Flat Panel);DirectX* Support;OpenGL* Support;OpenCL* Support;Quick Sync Video;InTru 3D Technology;Clear Video HD Technology;Clear Video Technology;# of Displays Supported;Device ID;Graphics Output;Multi-Format Codec Engines;Flexible Display Interface ( FDI);Max Resolution (VGA);Macrovision* License Required;Xe-cores;Ray Tracing;H.264 Hardware Encode/Decode;H.265 (HEVC) Hardware Encode/Decode;AV1 Encode/Decode;VP9 Bitstream & Decoding;Deep Learning Boost ( DL Boost) on GPU;AI Software Frameworks Supported by GPU;Scalability;PCI Express Revision;PCI Express Configurations;Max # of PCI Express Lanes;Thunderbolt 4;Microprocessor PCIe Revision;Chipset / PCH PCIe Revision;PCI Support;Sockets Supported;Max CPU Configuration;Thermal Solution Specification;TJUNCTION;Package Size;Thermal Velocity Boost Temperature;TCASE;Processing Die Size;# of Processing Die Transistors;Max Operating Temperature;Minimum Operating Temperature;Gaussian & Neural Accelerator;Deep Learning Boost ( DL Boost) on CPU;Optane Memory Supported;Thermal Velocity Boost;Turbo Boost Max Technology 3.0;Turbo Boost Technology;Hyper-Threading Technology;64;Instruction Set;Instruction Set Extensions;Idle States;Enhanced SpeedStep Technology;Thermal Monitoring Technologies;Identity Protection Technology;Image Processing Unit;Smart Sound Technology;Wake on Voice;High Definition Audio;Adaptix Technology;Speed Shift Technology;Flex Memory Access;Volume Management Device (VMD);MIPI SoundWire*;Demand Based Switching;Smart Response Technology;Transactional Synchronization Extensions;Fast Memory Access;My WiFi Technology;4G WiMAX Wireless Technology;Virtualization Technology (VT-x);Virtualization Technology for Directed I/O (VT-d);VT-x with Extended Page Tables (EPT);ME Firmware Version;HD Audio Technology;Matrix Storage Technology;Rapid Storage Technology;Smart Connect Technology;Time Coordinated Computing ( TCC);# of AVX-512 FMA Units;Thread Director;vPro Eligibility;AES New Instructions;Secure Key;Software Guard Extensions ( SGX);OS Guard;Trusted Execution Technology;Execute Disable Bit;Boot Guard;Stable IT Platform Program (SIPP);Virtualization Technology (VT-x);Virtualization Technology for Directed I/O (VT-d);VT-x with Extended Page Tables (EPT);Control-Flow Enforcement Technology;Mode-based Execute Control (MBEC);Total Memory Encryption;Memory Protection Extensions ( MPX);Anti-Theft Technology;Threat Detection Technology (TDT);Active Management Technology (AMT);Standard Manageability (ISM);Remote Platform Erase (RPE);One-Click Recovery;Hardware Shield Eligibility;Total Memory Encryption - Multi Key;Virtualization Technology with Redirect Protection (VT-rp);Physical Core Count;Processor Base Frequency;Cache;Bus Speed;FSB Parity;TDP;VID Voltage Range;Scenario Design Power (SDP);# of USB Ports;USB Revision;Total # of SATA Ports;Integrated LAN;Integrated IDE;General Purpose IO;UART;Max # of SATA 6.0 Gb/s Ports;NPU Name;Max Frequency;Sparsity Support;Windows Studio Effects Support;AI Software Frameworks Supported by NPU
W-3365;Xeon W-3365 Processor;number;https://ark.intel.com/content/www/us/en/ark/products/217243/intel-xeon-w-3365-processor-48m-cache-up-to-4-00-ghz.html;FCLGA4189;Xeon W Processor;Products formerly Ice Lake;Workstation;;10;;32;64;4000000000;;;2700000000;50331648;8 GT/s;270;;;;;;;;;;;;;;;;;;;;;;Launched;2021-07-01;False;;;;;;;;;;;;4398046511104;DDR4-3200;8;;True;;3200000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S Only;4;;64;;;;;;;;;['77.5mm', '56.5mm'];;77;;;;;;True;;;False;2;True;True;;['AVX-512'];;True;;;;;;;;True;;True;;;;True;;;;;;;;;;;;;2;;;True;;False;;True;True;;;True;True;True;;True;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
W-1270;Xeon W-1270 Processor;number;https://ark.intel.com/content/www/us/en/ark/products/199339/intel-xeon-w-1270-processor-16m-cache-3-40-ghz.html;FCLGA1200;Xeon W Processor;Products formerly Comet Lake;Workstation;;14;;8;16;5000000000;5000000000;4900000000.0;3400000000;16 MB Smart Cache;8 GT/s;80;;;;;;;;;;;;;;;;;;;;;;Discontinued;2020-04-01;False;Workstation;;;;;This product is available in tray and box. For boxed product, a thermal solution is included;;;;;;137438953472;DDR4-2933;2;49177375539;True;;;UHD Graphics P630;350000000;1200000000;68719476736;;Yes, at 60Hz;4096x2160@30Hz;4096x2304@60Hz;4096x2304@60Hz;12;4.5;;True;True;True;True;3;0x9BC6;;;;;;;;;;;;;;1S Only;3;Up to 1x16, 2x8, 1x8+2x4;16;;;;;;1;PCG 2015W;100;['37.5mm', '37.5mm'];;;;;;;;;True;False;True;2;True;True;64-bit;['SSE4.1', 'SSE4.2', 'AVX2'];True;True;True;True;;;;;;;;;;;;False;;;;;;;;;;;;;;;vPro Platform;True;True;Yes with ME;True;True;True;True;;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
W-1350P;Xeon W-1350P Processor;number;https://ark.intel.com/content/www/us/en/ark/products/212264/intel-xeon-w-1350p-processor-12m-cache-up-to-5-10-ghz.html;FCLGA1200;Xeon W Processor;Products formerly Rocket Lake;Workstation;;14;;6;12;5100000000;;5100000000.0;4000000000;12 MB Smart Cache;8 GT/s;125;3000000000;95;;;;;;;;;;;;;;;;;;;;Discontinued;2021-04-01;False;Workstation;;;;;;;;;;;137438953472;DDR4-3200;2;53687091200;True;;;UHD Graphics P750;350000000;1300000000;68719476736;32;Yes, at 60Hz;4096x2160@60Hz;5120 x 3200 @60Hz;5120 x 3200 @60Hz;12.1;4.5;3;True;True;True;True;3;0x4C90;;;;;;;;;;;;;;1S Only;4;Up to 1x16+1x4, 2x8+1x4, 1x8+3x4;20;;;;;;1;PCG 2019A;100;['37.5 mm', '37.5 mm'];;;;;;;2;True;True;False;False;2;True;True;64-bit;['SSE4.1', 'SSE4.2', 'AVX2', 'AVX-512'];True;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;vPro Platform;True;True;False;True;True;True;True;;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
w7-2495X;Xeon w7-2495X Processor;number;https://ark.intel.com/content/www/us/en/ark/products/233416/intel-xeon-w7-2495x-processor-45m-cache-2-50-ghz.html;FCLGA4677;Xeon W Processor;Products formerly Sapphire Rapids;Workstation;;7;;24;48;4800000000;4800000000;4600000000.0;2500000000;45 MB Smart Cache;;;;;;;;;;;24;0;;;;;;;;225;270;;;Launched;2023-01-01;False;Workstation;;;;;;;;;;;2199023255552;DDR5-4800 (MT/s);4;;True;;4800000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S Only;5;;64;;;;;;1;;;['77.5mm', '56.5mm'];;77;;;;;;True;;;True;2;True;True;64-bit;['SSE4.1', 'AMX', 'SSE4.2', 'AVX2', 'AVX-512'];;True;;;;;;;;True;;;;;;True;;;;;;;;;;;;;2;;vPro Enterprise;True;;False;True;True;True;True;;True;True;True;True;True;True;;;False;True;;False;False;;False;True;;;;;;;;;;;;;;;;;;;;;
W-2275;Xeon W-2275 Processor;number;https://ark.intel.com/content/www/us/en/ark/products/198010/intel-xeon-w-2275-processor-19-25m-cache-3-30-ghz.html;FCLGA2066;Xeon W Processor;Products formerly Cascade Lake;Workstation;;14;;14;28;4600000000;4800000000;;3300000000;20185088.0;8 GT/s;165;;;;;;;0;;;;;;;;;;;;;;;Launched;2019-10-01;False;;;;;;;;;;;;1099511627776;DDR4 2933;4;100770670182;True;46-bit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S Only;3;x4, x8, x16;48;;;;;;1;;;['45mm', '52.5mm'];;62;;;;;;True;False;;True;2;True;True;64-bit;['SSE4.2', 'AVX', 'AVX2', 'AVX-512'];True;True;True;True;;;;;;True;;True;;True;;True;;;;;;;;;;;;;2;;vPro Platform;True;True;False;True;True;True;True;;True;True;True;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
w5-3435X;Xeon w5-3435X Processor;number;https://ark.intel.com/content/www/us/en/ark/products/233421/intel-xeon-w5-3435x-processor-45m-cache-3-10-ghz.html;FCLGA4677;Xeon W Processor;Products formerly Sapphire Rapids;Workstation;;7;;16;32;4700000000;4700000000;4500000000.0;3100000000;45 MB Smart Cache;;;;;;;;;;;16;0;;;;;;;;270;324;;;Launched;2023-01-01;False;Workstation;;;;;;;;;;;4398046511104;DDR5-4800 (MT/s);8;;True;;4800000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S Only;5;;112;;;;;;1;;;['77.5mm', '56.5mm'];;72;;;;;;True;;;True;2;True;True;64-bit;['SSE4.1', 'AMX', 'SSE4.2', 'AVX2', 'AVX-512'];;True;;;;;;;;True;;;;;;True;;;;;;;;;;;;;2;;vPro Enterprise;True;;False;True;True;True;True;;True;True;True;True;True;True;;;False;True;;False;False;;False;True;;;;;;;;;;;;;;;;;;;;;
W-3265M;Xeon W-3265M Processor;number;https://ark.intel.com/content/www/us/en/ark/products/193750/intel-xeon-w-3265m-processor-33m-cache-2-70-ghz.html;FCLGA3647;Xeon W Processor;Products formerly Cascade Lake;Workstation;;14;;24;48;4400000000;4600000000;;2700000000;34603008;8 GT/s;205;;;;;;;;;;;;;;;;;;;;;;Launched;2019-04-01;False;;;;;;;;;;;;2199023255552;DDR4-2933;6;;True;;2933000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S Only;3;;64;;;;;;;;;['76.0mm', '56.5mm'];;78;;;;;;True;;;True;2;True;True;;['AVX-512'];;True;;;;;;;;True;;True;;;;True;;;;;;;;;;;;;2;;vPro Platform;True;;;;True;True;True;;True;True;True;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
W-1250P;Xeon W-1250P Processor;number;https://ark.intel.com/content/www/us/en/ark/products/199340/intel-xeon-w-1250p-processor-12m-cache-4-10-ghz.html;FCLGA1200;Xeon W Processor;Products formerly Comet Lake;Workstation;;14;;6;12;4800000000;;4800000000.0;4099999999;12 MB Smart Cache;8 GT/s;125;3800000000.0;95;;;;;;;;;;;;;;;;;;;;Discontinued;2020-04-01;False;Workstation;;;;;This product is available in tray and box. For boxed product, a thermal solution is not included;;;;;;137438953472;DDR4-2666;2;44667659878;True;;;UHD Graphics P630;350000000;1200000000;68719476736;;Yes, at 60Hz;4096x2160@30Hz;4096x2304@60Hz;4096x2304@60Hz;12;4.5;;True;True;True;True;3;0x9BC6;;;;;;;;;;;;;;1S Only;3;Up to 1x16, 2x8, 1x8+2x4;16;;;;;;1;PCG 2015D;100;['37.5mm', '37.5mm'];;;;;;;;;True;False;False;2;True;True;64-bit;['SSE4.1', 'SSE4.2', 'AVX2'];True;True;True;True;;;;;;;;;;;;False;;;;;;;;;;;;;;;vPro Platform;True;True;Yes with ME;True;True;True;True;;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
W-3275;Xeon W-3275 Processor;number;https://ark.intel.com/content/www/us/en/ark/products/193752/intel-xeon-w-3275-processor-38-5m-cache-2-50-ghz.html;FCLGA3647;Xeon W Processor;Products formerly Cascade Lake;Workstation;;14;;28;56;4400000000;4600000000;;2500000000;40370176.0;8 GT/s;205;;;;;;;;;;;;;;;;;;;;;;Launched;2019-04-01;False;;;;;;;;;;;;1099511627776;DDR4-2933;6;;True;;2933000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S Only;3;;64;;;;;;;;;['76.0mm', '56.5mm'];;76;;;;;;True;;;True;2;True;True;;['AVX-512'];;True;;;;;;;;True;;True;;;;True;;;;;;;;;;;;;2;;vPro Platform;True;;;;True;True;True;;True;True;True;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
W-1390;Xeon W-1390 Processor;number;https://ark.intel.com/content/www/us/en/ark/products/212267/intel-xeon-w-1390-processor-16m-cache-up-to-5-20-ghz.html;FCLGA1200;Xeon W Processor;Products formerly Rocket Lake;Workstation;;14;;8;16;5200000000;5100000000;5000000000;2800000000;16 MB Smart Cache;8 GT/s;80;;;5200000000.0;;;;;;;;;;;;;;;;;;;Discontinued;2021-04-01;False;Workstation;;;;;This product is available in tray and box. For boxed product, a thermal solution is included.;;;;;;137438953472;DDR4-3200;2;53687091200;True;;;UHD Graphics P750;350000000;1300000000;68719476736;32;Yes, at 60Hz;4096x2160@60Hz;5120 x 3200 @60Hz;5120 x 3200 @60Hz;12.1;4.5;3;True;True;True;True;3;0x4C90;;;;;;;;;;;;;;1S Only;4;Up to 1x16+1x4, 2x8+1x4, 1x8+3x4;20;;;;;;1;PCG 2019B;100;['37.5 mm', '37.5 mm'];70 °C;;;;;;2;True;True;True;True;2;True;True;64-bit;['SSE4.1', 'SSE4.2', 'AVX2', 'AVX-512'];True;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;vPro Platform;True;True;False;True;True;True;True;;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
