Product Collection,launch_min,launch_max,core_min,core_max,core_median,freq_min,freq_max,freq_median,tdp_min,tdp_max,tdp_median,tdp_core_min,tdp_core_max,tdp_core_median,bandwidth_min,bandwidth_max,bandwidth_median,pcie_bandwidth_min,pcie_bandwidth_max,pcie_bandwidth_median,Code Name,collection_short,year_collection
Xeon 6,2024/07,2024/07,72.0,128.0,96.0,2.0,2.7,2.1,400.0,500.0,500.0,3.90625,6.944444444444445,4.166666666666667,614.4,614.4,614.4,384.0,384.0,384.0,,6 (Perf.),2024/07 - 6 (Perf.)
Xeon 6,2024/07,2024/07,72.0,128.0,96.0,2.0,2.7,2.1,400.0,500.0,500.0,3.90625,6.944444444444445,4.166666666666667,614.4,614.4,614.4,384.0,384.0,384.0,,6 (Perf.),2024/07 - 6 (Perf.)
Xeon 6,2024/07,2024/07,72.0,128.0,96.0,2.0,2.7,2.1,400.0,500.0,500.0,3.90625,6.944444444444445,4.166666666666667,614.4,614.4,614.4,384.0,384.0,384.0,,6 (Perf.),2024/07 - 6 (Perf.)
Xeon 6,2024/07,2024/07,72.0,128.0,96.0,2.0,2.7,2.1,400.0,500.0,500.0,3.90625,6.944444444444445,4.166666666666667,614.4,614.4,614.4,384.0,384.0,384.0,,6 (Perf.),2024/07 - 6 (Perf.)
Xeon 6,2024/07,2024/07,72.0,128.0,96.0,2.0,2.7,2.1,400.0,500.0,500.0,3.90625,6.944444444444445,4.166666666666667,614.4,614.4,614.4,384.0,384.0,384.0,,6 (Perf.),2024/07 - 6 (Perf.)
5th Gen Xeon Scalable Processors,2023/10,2023/10,8.0,64.0,32.0,1.9,3.9,2.2,115.0,385.0,260.0,4.5,24.375,7.604166666666666,281.6,358.40000000000003,332.8,160.0,320.0,320.0,Products formerly Emerald Rapids,5th Scalable,2023/10 - 5th Scalable
5th Gen Xeon Scalable Processors,2023/10,2023/10,8.0,64.0,32.0,1.9,3.9,2.2,115.0,385.0,260.0,4.5,24.375,7.604166666666666,281.6,358.40000000000003,332.8,160.0,320.0,320.0,Products formerly Emerald Rapids,5th Scalable,2023/10 - 5th Scalable
5th Gen Xeon Scalable Processors,2023/10,2023/10,8.0,64.0,32.0,1.9,3.9,2.2,115.0,385.0,260.0,4.5,24.375,7.604166666666666,281.6,358.40000000000003,332.8,160.0,320.0,320.0,Products formerly Emerald Rapids,5th Scalable,2023/10 - 5th Scalable
5th Gen Xeon Scalable Processors,2023/10,2023/10,8.0,64.0,32.0,1.9,3.9,2.2,115.0,385.0,260.0,4.5,24.375,7.604166666666666,281.6,358.40000000000003,332.8,160.0,320.0,320.0,Products formerly Sapphire Rapids,5th Scalable,2023/10 - 5th Scalable
5th Gen Xeon Scalable Processors,2023/10,2023/10,8.0,64.0,32.0,1.9,3.9,2.2,115.0,385.0,260.0,4.5,24.375,7.604166666666666,281.6,358.40000000000003,332.8,160.0,320.0,320.0,Products formerly Sapphire Rapids,5th Scalable,2023/10 - 5th Scalable
