,Benchmark,Hardware Vendor	,System,# Cores,# Chips,# Cores Per Chip,# Threads Per Core,Processor ,Processor MHz,Processor Characteristics,CPU(s) Orderable,Auto Parallelization,Base Pointer Size,Peak Pointer Size,1st Level Cache,2nd Level Cache,3rd Level Cache,Other Cache,Memory,Operating System,File System,Compiler,HW Avail,SW Avail,Result,Baseline,400 Peak,400 Base,401 Peak,401 Base,403 Peak,403 Base,429 Peak,429 Base,445 Peak,445 Base,456 Peak,456 Base,458 Peak,458 Base,462 Peak,462 Base,464 Peak,464 Base,471 Peak,471 Base,473 Peak,473 Base,483 Peak,483 Base,License,Tested By,Test Sponsor,Test Date,Published,Updated ,Disclosure,Disclosures,Source,perf,# Enabled Threads Per Core,Parallel,Storage,Energy Peak Result,Energy Base Result,600 Peak,600 Base,602 Peak,602 Base,605 Peak,605 Base,620 Peak,620 Base,623 Peak,623 Base,625 Peak,625 Base,631 Peak,631 Base,641 Peak,641 Base,648 Peak,648 Base,657 Peak,657 Base,hw_avail_year,perf_per_chip
9013,CINT2017,ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.50 GHz, AMD EPYC 7502P",32,1,,,AMD EPYC 7502P,2500,,1 chip,,64-bit,32/64-bit,32 KB I + 32 KB D on chip per core,512 KB I+D on chip per core,"128 MB I+D on chip per chip, 16 MB shared / 4 cores",,512 GB (8 x 64 GB 2Rx4 PC4-3200AA-R),"SUSE Linux Enterprise Server 15 SP1 (x86_64), Kernel 4.12.14-195-default",xfs,C/C++/Fortran: Version 2.0.0 of AOCC,Aug-2019,Aug-2019,9.15,8.94,,,,,,,,,,,,,,,,,,,,,,,,,9016,ASUSTeK Computer Inc.,ASUSTeK Computer Inc.,Sep-2019,Nov-2019,Nov-2019,"<A HREF=""/cpu2017/results/res2019q4/cpu2017-20191028-19331.html"">HTML</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20191028-19331.csv"">CSV</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20191028-19331.pdf"">PDF</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20191028-19331.ps"">PS</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20191028-19331.txt"">Text</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20191028-19331.cfg"">Config</A>",,cint2017,82.35000000000001,2.0,Yes,1 x 240 GB SATA SSD,0.0,0.0,5.14,4.87,9.81,9.81,16.3,15.3,5.12,5.12,10.3,9.52,13.0,12.7,4.99,4.94,4.27,4.27,16.7,16.7,20.6,20.6,2019,82.35000000000001
13123,CINT2017,Lenovo Global Technology,"ThinkSystem SR635 2.50 GHz,AMD EPYC 7502P",32,1,,,AMD EPYC 7502P,2500,,1 chip,,64-bit,32/64-bit,32 KB I + 32 KB D on chip per core,512 KB I+D on chip per core,"128 MB I+D on chip per chip, 16 MB shared / 4 cores",,256 GB (8 x 32 GB 2Rx4 PC4-3200AA-R),"Red Hat Enterprise Linux release 8.0, (Ootpa), Kernel 4.18.0-80.el8.x86_64",xfs,C/C++/Fortran: Version 2.0.0 of AOCC,Aug-2019,Aug-2019,9.08,8.78,,,,,,,,,,,,,,,,,,,,,,,,,9017,Lenovo Global Technology,Lenovo Global Technology,Sep-2019,Oct-2019,Oct-2019,"<A HREF=""/cpu2017/results/res2019q4/cpu2017-20190927-18743.html"">HTML</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20190927-18743.csv"">CSV</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20190927-18743.pdf"">PDF</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20190927-18743.ps"">PS</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20190927-18743.txt"">Text</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20190927-18743.cfg"">Config</A>",,cint2017,81.72,1.0,Yes,1 x 960 GB SATA SSD,0.0,0.0,5.27,4.77,9.7,9.63,16.2,15.1,5.06,5.0,10.1,9.43,12.9,12.4,4.98,4.88,4.23,4.23,16.5,16.0,20.3,20.3,2019,81.72
11643,CINT2017,Hewlett Packard Enterprise,"ProLiant DL325 Gen10 Plus (2.50 GHz, AMD EPYC 7502P)",32,1,,,AMD EPYC 7502P,2500,,1 chip,,64-bit,32/64-bit,32 KB I + 32 KB D on chip per core,512 KB I+D on chip per core,"128 MB I+D on chip per chip, 16 MB shared / 4 cores",,512 GB (8 x 64 GB 2Rx4 PC4-3200AA-R),"SUSE Linux Enterprise Server 15 (x86_64) SP1, Kernel 4.12.14-195-default",xfs,C/C++/Fortran: Version 2.0.0 of AOCC,Dec-2019,Aug-2019,8.92,8.54,,,,,,,,,,,,,,,,,,,,,,,,,3,HPE,HPE,Feb-2020,Apr-2020,Apr-2020,"<A HREF=""/cpu2017/results/res2020q2/cpu2017-20200330-21568.html"">HTML</A> <A HREF=""/cpu2017/results/res2020q2/cpu2017-20200330-21568.csv"">CSV</A> <A HREF=""/cpu2017/results/res2020q2/cpu2017-20200330-21568.pdf"">PDF</A> <A HREF=""/cpu2017/results/res2020q2/cpu2017-20200330-21568.ps"">PS</A> <A HREF=""/cpu2017/results/res2020q2/cpu2017-20200330-21568.txt"">Text</A> <A HREF=""/cpu2017/results/res2020q2/cpu2017-20200330-21568.cfg"">Config</A>",,cint2017,80.28,1.0,Yes,"1 x 480 GB SATA SSD, RAID 0",0.0,0.0,5.02,4.74,9.64,9.54,15.7,14.5,5.05,4.67,9.9,9.01,12.7,12.4,4.95,4.74,4.09,4.04,16.2,15.8,20.0,20.0,2019,80.28
13319,CINT2017,Lenovo Global Technology,"ThinkSystem SR655 2.50 GHz,AMD EPYC 7502P",32,1,,,AMD EPYC 7502P,2500,,1 chip,,64-bit,32/64-bit,32 KB I + 32 KB D on chip per core,512 KB I+D on chip per core,"128 MB I+D on chip per chip, 16 MB shared / 4 cores",,256 GB (8 x 32 GB 2Rx4 PC4-3200AA-R),"Red Hat Enterprise Linux release 8.0, (Ootpa), Kernel 4.18.0-80.el8.x86_64",xfs,C/C++/Fortran: Version 2.0.0 of AOCC,Aug-2019,Aug-2019,9.08,8.79,,,,,,,,,,,,,,,,,,,,,,,,,9017,Lenovo Global Technology,Lenovo Global Technology,Sep-2019,Oct-2019,Oct-2019,"<A HREF=""/cpu2017/results/res2019q4/cpu2017-20190916-18049.html"">HTML</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20190916-18049.csv"">CSV</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20190916-18049.pdf"">PDF</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20190916-18049.ps"">PS</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20190916-18049.txt"">Text</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20190916-18049.cfg"">Config</A>",,cint2017,81.72,1.0,Yes,1 x 960 GB SATA SSD,0.0,0.0,5.26,4.78,9.7,9.65,16.2,15.1,5.06,5.06,10.1,9.34,12.9,12.5,4.98,4.88,4.23,4.23,16.5,16.0,20.3,20.3,2019,81.72
10627,CINT2017,Dell Inc.,"PowerEdge R6515 (AMD EPYC 7502P, 2.50 GHz)",32,1,,,AMD EPYC 7502P,2500,,1 chip,,64-bit,32/64-bit,32 KB I + 32 KB D on chip per core,512 KB I+D on chip per core,"128 MB I+D on chip per chip, 16 MB shared / 4 cores",,"256 GB (8 x 32 GB 2Rx4 PC4-3200AA-R, running at 3200)","SUSE Linux Enterprise Server 15 SP1, kernel 4.12.14-195-default, 4.12.14-195-default",xfs,C/C++/Fortran: Version 2.0.0 of AOCC,Sep-2019,Aug-2019,8.8,8.53,,,,,,,,,,,,,,,,,,,,,,,,,55,Dell Inc.,Dell Inc.,Aug-2019,Sep-2019,Sep-2019,"<A HREF=""/cpu2017/results/res2019q3/cpu2017-20190831-17281.html"">HTML</A> <A HREF=""/cpu2017/results/res2019q3/cpu2017-20190831-17281.csv"">CSV</A> <A HREF=""/cpu2017/results/res2019q3/cpu2017-20190831-17281.pdf"">PDF</A> <A HREF=""/cpu2017/results/res2019q3/cpu2017-20190831-17281.ps"">PS</A> <A HREF=""/cpu2017/results/res2019q3/cpu2017-20190831-17281.txt"">Text</A> <A HREF=""/cpu2017/results/res2019q3/cpu2017-20190831-17281.cfg"">Config</A>",,cint2017,79.2,2.0,Yes,1 x 960 GB SATA SSD,0.0,0.0,5.08,4.65,9.47,9.47,15.7,14.6,4.81,4.81,9.81,9.01,12.6,12.1,4.84,4.75,4.16,4.16,15.8,15.8,19.6,19.5,2019,79.2
11005,CINT2017,Dell Inc.,"PowerEdge R7515 (AMD EPYC 7502P, 2.50GHz)",32,1,,,AMD EPYC 7502P,2500,,1 chip,,64-bit,32/64-bit,32 KB I + 32 KB D on chip per core,512 KB I+D on chip per core,"128 MB I+D on chip per chip, 16 MB shared / 4 cores",,"256 GB (8 x 32 GB 2Rx4 PC4-3200AA-R, running at 3200)","SUSE Linux Enterprise Server 15 SP1, kernel 4.12.14-195-default",xfs,C/C++/Fortran: Version 2.0.0 of AOCC,Sep-2019,Aug-2019,8.76,8.43,,,,,,,,,,,,,,,,,,,,,,,,,55,Dell Inc.,Dell Inc.,Sep-2019,Oct-2019,Oct-2019,"<A HREF=""/cpu2017/results/res2019q4/cpu2017-20191014-19036.html"">HTML</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20191014-19036.csv"">CSV</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20191014-19036.pdf"">PDF</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20191014-19036.ps"">PS</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20191014-19036.txt"">Text</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20191014-19036.cfg"">Config</A>",,cint2017,78.84,2.0,Yes,1 x 960 GB SAS SSD,0.0,0.0,5.05,4.53,9.38,9.37,15.6,14.6,4.8,4.67,9.77,8.87,12.5,12.1,4.82,4.76,4.14,4.14,15.7,15.3,19.6,19.4,2019,78.84
9561,CINT2017,Cisco Systems,Cisco UCS C225 M6 (AMD EPYC 7502P 32-Core),32,1,,,AMD EPYC 7502P,2500,,1 chips,,64-bit,64-bit,32 KB I + 32 KB D on chip per core,512 KB I+D on chip per core,"128 MB I+D on chip per chip, 16 MB shared / 4 cores",,1 TB (8 x 128 GB 4Rx4 PC4-3200V-L),"SUSE Linux Enterprise Server 15 SP2 (x86_64), kernel version, 5.3.18-22-default",xfs,C/C++/Fortran: Version 3.0.0 of AOCC,Jun-2021,Jun-2021,8.93,8.9,,,,,,,,,,,,,,,,,,,,,,,,,9019,Cisco Systems,Cisco Systems,Dec-2021,Jan-2022,Jan-2022,"<A HREF=""/cpu2017/results/res2022q1/cpu2017-20211220-30565.html"">HTML</A> <A HREF=""/cpu2017/results/res2022q1/cpu2017-20211220-30565.csv"">CSV</A> <A HREF=""/cpu2017/results/res2022q1/cpu2017-20211220-30565.pdf"">PDF</A> <A HREF=""/cpu2017/results/res2022q1/cpu2017-20211220-30565.ps"">PS</A> <A HREF=""/cpu2017/results/res2022q1/cpu2017-20211220-30565.txt"">Text</A> <A HREF=""/cpu2017/results/res2022q1/cpu2017-20211220-30565.cfg"">Config</A>",,cint2017,80.37,2.0,Yes,1 x 960 GB M.2 SSD SATA,0.0,0.0,4.89,4.89,9.14,9.14,15.1,15.1,4.55,4.55,10.5,10.5,13.5,13.5,4.93,4.79,4.34,4.34,17.6,17.5,19.6,19.6,2021,80.37
10020,CINT2017,Dell Inc.,"PowerEdge C6525 (AMD EPYC 7502P, 2.50GHz)",32,1,,,AMD EPYC 7502P,2500,,1 chip,,64-bit,32/64-bit,32 KB I + 32 KB D on chip per core,512 KB I+D on chip per core,"128 MB I+D on chip per chip, 16 MB shared / 4 cores",,"256 GB (8 x 32 GB 2Rx4 PC4-3200AA-R, running at 3200)","SUSE Linux Enterprise Server 15 SP1, kernel 4.12.14-195-default",xfs,C/C++/Fortran: Version 2.0.0 of AOCC,Sep-2019,Aug-2019,8.72,8.45,,,,,,,,,,,,,,,,,,,,,,,,,55,Dell Inc.,Dell Inc.,Sep-2019,Nov-2019,Nov-2019,"<A HREF=""/cpu2017/results/res2019q4/cpu2017-20191111-19700.html"">HTML</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20191111-19700.csv"">CSV</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20191111-19700.pdf"">PDF</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20191111-19700.ps"">PS</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20191111-19700.txt"">Text</A> <A HREF=""/cpu2017/results/res2019q4/cpu2017-20191111-19700.cfg"">Config</A>",,cint2017,78.48,2.0,Yes,1 x 480 GB SATA SSD,0.0,0.0,5.06,4.57,9.32,9.32,15.3,14.2,4.72,4.72,9.77,8.89,12.5,12.2,4.78,4.69,4.15,4.15,15.7,15.7,19.7,19.6,2019,78.48
13418,CINT2017,Lenovo Global Technology,"ThinkSystem SR665 V3 (2.70 GHz,AMD EPYC 9334)",64,2,,,AMD EPYC 9334,2700,,"1,2 chips",,64-bit,64-bit,32 KB I + 32 KB D on chip per core,1 MB I+D on chip per core,"128 MB I+D on chip per chip, 32 MB shared / 8 cores",,768 GB (24 x 32 GB 2Rx8 PC5-4800B-R),"SUSE Linux Enterprise Server 15 SP4 (x86_64), Kernel 5.14.21-150400.22-default",xfs,C/C++/Fortran: Version 4.0.0 of AOCC,Feb-2023,Nov-2022,14.8,14.6,,,,,,,,,,,,,,,,,,,,,,,,,9017,Lenovo Global Technology,Lenovo Global Technology,Dec-2022,Jan-2023,Jan-2023,"<A HREF=""/cpu2017/results/res2023q1/cpu2017-20230102-33283.html"">HTML</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230102-33283.csv"">CSV</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230102-33283.pdf"">PDF</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230102-33283.ps"">PS</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230102-33283.txt"">Text</A> <A HREF=""/cpu2017/results/res2023q1/cpu2017-20230102-33283.cfg"">Config</A>",,cint2017,133.20000000000002,1.0,Yes,1 x 480 GB SATA SSD,0.0,0.0,8.83,8.83,15.1,15.1,21.9,21.1,10.8,10.8,21.6,20.0,22.4,22.4,7.32,7.32,6.15,6.15,27.3,27.3,26.7,26.7,2023,66.60000000000001
13356,CINT2017,Lenovo Global Technology,"ThinkSystem SR655 V3 (2.70 GHz,AMD EPYC 9334)",32,1,,,AMD EPYC 9334,2700,,1 chip,,64-bit,64-bit,32 KB I + 32 KB D on chip per core,1 MB I+D on chip per core,"128 MB I+D on chip per chip, 32 MB shared / 8 cores",,384 GB (12 x 32 GB 2Rx8 PC5-4800B-R),"SUSE Linux Enterprise Server 15 SP4, Kernel 5.14.21-150400.22-default",xfs,C/C++/Fortran: Version 4.0.0 of AOCC,Apr-2023,Nov-2022,14.7,14.5,,,,,,,,,,,,,,,,,,,,,,,,,9017,Lenovo Global Technology,Lenovo Global Technology,Mar-2023,Apr-2023,Apr-2023,"<A HREF=""/cpu2017/results/res2023q2/cpu2017-20230327-35070.html"">HTML</A> <A HREF=""/cpu2017/results/res2023q2/cpu2017-20230327-35070.csv"">CSV</A> <A HREF=""/cpu2017/results/res2023q2/cpu2017-20230327-35070.pdf"">PDF</A> <A HREF=""/cpu2017/results/res2023q2/cpu2017-20230327-35070.ps"">PS</A> <A HREF=""/cpu2017/results/res2023q2/cpu2017-20230327-35070.txt"">Text</A> <A HREF=""/cpu2017/results/res2023q2/cpu2017-20230327-35070.cfg"">Config</A>",,cint2017,132.29999999999998,2.0,Yes,1 x 480 GB SATA SSD,0.0,0.0,8.82,8.81,14.9,14.9,21.9,21.1,10.7,10.7,21.5,19.9,22.3,22.3,7.27,7.27,6.15,6.15,27.4,27.4,26.0,25.3,2023,132.29999999999998
