,# Cores,# Chips,# Cores Per Chip,# Threads Per Core,Processor ,Processor MHz,Processor Characteristics,CPU(s) Orderable,Result,Baseline,perf,hw_avail_year,perf_per_chip
7463,2,1,2.0,2.0,Intel Core i7-4650U,1700,Intel Turbo Boost Technology up to 3.30 GHz,1 chip,46.5,44.8,46.5,2014,46.5
7503,4,2,2.0,1.0,Intel Xeon 5160,3000,"3.00 GHz, 4 MB L2, 1333 MHz bus","1,2 chips",20.6,18.7,20.6,2007,10.3
5962,4,2,2.0,1.0,Intel Xeon 5160,3000,1333MHz system bus,"1,2 chips",20.9,19.0,20.9,2006,10.45
6573,4,2,2.0,1.0,Intel Xeon 5160,3000,"Dual Core, 3.0 GHz","1,2 chips",20.8,18.9,20.8,2006,10.4
409,4,2,2.0,1.0,Intel Xeon 5160,3000,"3.00 GHz, 4 MB L2, 1333 MHz system bus",1 to 2 chips,21.0,19.0,21.0,2007,10.5
431,1,1,2.0,1.0,Intel Xeon 5160,3000,"3.00 GHz, 4 MB L2, 1333 MHz system bus",2 chips,17.4,16.8,17.4,2007,17.4
533,1,1,2.0,1.0,Intel Xeon 5160,3000,"3.00 GHz, 4 MB L2, 1333 MHz system bus",2 chips,17.4,16.8,17.4,2007,17.4
4057,4,2,2.0,1.0,Intel Xeon 5160,3000,"3.0 GHz, 2x4 MB L2 shared, 1333 MHz system bus",1 or 2 chips,23.2,19.7,23.2,2006,11.6
3536,4,2,2.0,1.0,Intel Xeon 5160,3000,1333MHz system bus,"1, 2 chips",17.3,16.6,17.3,2006,8.65
3473,4,2,2.0,1.0,Intel Xeon 5160,3000,"Dual Core, 3.0 GHz","1,2 chips",16.9,16.2,16.9,2006,8.45
7485,4,2,2.0,1.0,Intel Xeon 5160,3000,"3.00 GHz, 4 MB L2, 1333 MHz bus","1,2 chips",20.7,18.9,20.7,2007,10.35
7516,4,2,2.0,1.0,Intel Xeon 5160,3000,"3.00 GHz, 4MB L2, 1333MHz bus","1,2 chips",21.0,19.1,21.0,2007,10.5
7517,4,2,2.0,1.0,Intel Xeon 5160,3000,"3.00 GHz, 4MB L2, 1333MHz bus","1,2 chips",17.9,17.2,17.9,2007,8.95
7533,4,2,2.0,1.0,Intel Xeon 5160,3000,"3.00 GHz, 4MB L2, 1333MHz bus","1,2 chips",21.0,19.1,21.0,2007,10.5
7534,4,2,2.0,1.0,Intel Xeon 5160,3000,"3.00 GHz, 4MB L2, 1333MHz bus","1,2 chips",17.9,17.2,17.9,2007,8.95
