,Benchmark,Processor ,# Cores Per Chip,Processor MHz,perf_per_chip
7463,CINT2006,Intel Core i7-4650U,2.0,1700,46.5
7503,CINT2006,Intel Xeon 5160,2.0,3000,10.3
5962,CINT2006,Intel Xeon 5160,2.0,3000,10.45
6573,CINT2006,Intel Xeon 5160,2.0,3000,10.4
409,CINT2006,Intel Xeon 5160,2.0,3000,10.5
431,CINT2006,Intel Xeon 5160,2.0,3000,17.4
533,CINT2006,Intel Xeon 5160,2.0,3000,17.4
4057,CINT2006,Intel Xeon 5160,2.0,3000,11.6
3536,CINT2006,Intel Xeon 5160,2.0,3000,8.65
3473,CINT2006,Intel Xeon 5160,2.0,3000,8.45
7485,CINT2006,Intel Xeon 5160,2.0,3000,10.35
7516,CINT2006,Intel Xeon 5160,2.0,3000,10.5
7517,CINT2006,Intel Xeon 5160,2.0,3000,8.95
7533,CINT2006,Intel Xeon 5160,2.0,3000,10.5
7534,CINT2006,Intel Xeon 5160,2.0,3000,8.95
701,CINT2006,Intel Xeon 5160,2.0,3000,8.3
6128,CINT2006,Intel Xeon 5160,2.0,3000,10.4
8199,CINT2006,Intel Xeon 5160,2.0,3000,8.7
8130,CINT2006,Intel Xeon 5160,2.0,3000,10.5
1258,CINT2006,Intel Xeon 5160,2.0,3000,16.3
8039,CINT2006,Intel Xeon 5160,2.0,3000,10.5
1215,CINT2006,Intel Xeon 5160,2.0,3000,18.1
1214,CINT2006,Intel Xeon 5160,2.0,3000,20.2
624,CINT2006,Intel Xeon 7140M,2.0,3400,11.2
791,CINT2006,Intel Xeon 7140M,2.0,3400,11.2
4147,CINT2006,Intel Xeon 7140M,2.0,3400,12.8
7551,CINT2006,Intel Xeon 7140M,2.0,3400,3.2
7549,CINT2006,Intel Xeon 7140M,2.0,3400,3.2
5169,CINT2006,Intel Xeon E5-2630,6.0,2300,21.75
4348,CINT2006,Intel Xeon E5-2630,6.0,2300,21.6
5023,CINT2006,Intel Xeon E5-2630,6.0,2300,21.65
5456,CINT2006,Intel Xeon E5-2630,6.0,2300,21.65
5565,CINT2006,Intel Xeon E5-2630,6.0,2300,21.45
5670,CINT2006,Intel Xeon E5-2630,6.0,2300,21.6
5915,CINT2006,Intel Xeon E5-2630,6.0,2300,21.6
1061,CINT2006,Intel Xeon E5-2630,6.0,2300,21.75
4794,CINT2006,Intel Xeon E5-2630,6.0,2300,21.8
4523,CINT2006,Intel Xeon E5-2630,6.0,2300,21.75
4390,CINT2006,Intel Xeon E5-2630,6.0,2300,21.8
498,CINT2006,Intel Xeon E5-2630,6.0,2300,21.25
5039,CINT2006,Intel Xeon E5-2630,6.0,2300,21.8
2962,CINT2006,Intel Xeon E5-2630,6.0,2300,21.7
