,Processor,short_model,Source,median_spec_int_rate_perf,Unnamed: 0,year,model,model_launch_year,frequency,processors,cores,threads,TDP/CPU (W),TDP-total (W),performance_id,sku_level
0,Intel Core i7-4650U,4650,rint2006,79.5,84,2012,Intel Xeon E5-4650,2012,2.70 GHz,4,32.0,32,130,520.0,50.0,4.0
1,Intel Xeon 5160,5160,rint2006,34.05,30,2006,Intel Xeon 5160,2006,3.0 GHz,,2.0,2,80,,60.0,5.0
2,Intel Xeon 7140M,7140M,rint2006,26.1,34,2006,Intel Xeon 7140M,2006,3.3 GHz,,2.0,4,150,,40.0,7.0
3,Intel Xeon E5-2630 v3,2630 v3,rint2006,359.5,102,2017,Intel Xeon E5-2630 v3,2014,2.40 GHz,2,16.0,16,85,170.0,30.0,2.0
4,Intel Xeon E5-2670 v2,2670 v2,rint2006,412.0,97,2014,Intel Xeon E5-2670 v2,2013,2.5GHz,2,20.0,40,115,230.0,70.0,2.0
5,Intel Xeon E5-2680,2680,rint2006,339.0,86,2013,Intel Xeon E5-2680,2012,2.70GHz,8,64.0,128,130,1040.0,80.0,2.0
6,Intel Xeon E5-2690,2690,rint2006,353.0,83,2012,Intel Xeon E5-2690,2012,2.90 GHz,2,16.0,32,135,270.0,90.0,2.0
7,Intel Xeon E5-2690,2690,rint2006,353.0,87,2013,Intel Xeon E5-2690,2012,2.90 GHz,2,16.0,32,130,260.0,90.0,2.0
8,Intel Xeon E5-2699 v3,2699 v3,rint2006,702.0,94,2014,Intel Xeon E5-2699 v3,2014,2.30 GHz,2,36.0,72,145,290.0,99.0,2.0
9,Intel Xeon E5-2699 v3,2699 v3,rint2006,702.0,98,2016,Intel Xeon E5-2699 v3,2014,2.30 GHz,2,36.0,72,145,290.0,99.0,2.0
10,Intel Xeon E5-2699 v4,2699 v4,rint2006,904.0,99,2016,Intel Xeon E5-2699 v4,2016,2.20 GHz,2,44.0,88,145,290.0,99.0,2.0
11,Intel Xeon E5-2699 v4,2699 v4,rint2006,904.0,100,2017,Intel Xeon E5-2699 v4,2016,2.20 GHz,2,44.0,88,145,290.0,99.0,2.0
12,Intel Xeon E5320,E5320,rint2006,36.6,43,2007,Intel Xeon E5320,2006,1.86 GHz,1 - 8,4.0,4,80,,20.0,5.0
13,Intel Xeon E5345,E5345,rint2006,49.5,44,2007,Intel Xeon E5345,2006,2.33 GHz,1 - 8,4.0,4,80,,45.0,5.0
14,Intel Xeon E5420,E5420,rint2006,63.0,53,2008,Intel Xeon E5420,2007,2.5 GHz,1,4.0,4,80,,20.0,5.0
15,Intel Xeon E5520,E5520,rint2006,103.0,65,2009,Intel Xeon E5520,2009,2.26 GHz,1 - 4,4.0,8,80,,20.0,5.0
16,Intel Xeon Gold 6354,6354,rint2017,1444.5,113,2021,Intel Xeon Gold 6354 CPU,2021,3.00GHz,2,36.0,72,205,410.0,54.0,6.0
17,Intel Xeon Gold 6354,6354,rint2017,1444.5,114,2022,Intel Xeon Gold 6354 CPU,2021,3.00GHz,2,36.0,72,205,410.0,54.0,6.0
18,Intel Xeon Gold 6354,6354,rint2017,1444.5,117,2023,Intel Xeon Gold 6354 CPU,2021,3.00GHz,2,36.0,72,205,410.0,54.0,6.0
19,Intel Xeon Platinum 8180,8180,rint2006,1350.0,101,2017,Intel Xeon Platinum 8180,2017,2.50GHz,2,56.0,112,205,410.0,80.0,8.0
20,Intel Xeon Platinum 8180,8180,rint2017,1318.5,101,2017,Intel Xeon Platinum 8180,2017,2.50GHz,2,56.0,112,205,410.0,80.0,8.0
21,Intel Xeon X5355,X5355,rint2006,45.9,31,2006,Intel Xeon X5355,2006,2.66 GHz,,4.0,4,120,,55.0,5.0
22,Intel Xeon X5355,X5355,rint2006,45.9,45,2007,Intel Xeon X5355,2006,2.66 GHz,1 - 8,4.0,4,120,,55.0,5.0
23,Intel Xeon X5365,X5365,rint2006,60.85,46,2007,Intel Xeon X5365,2007,3 GHz,1 - 8,4.0,4,150,,65.0,5.0
24,Intel Xeon X5365,X5365,rint2006,60.85,54,2008,Intel Xeon X5365,2007,3.0 GHz,1,4.0,4,150,,65.0,5.0
25,Intel Xeon X5460,X5460,rint2006,73.0,47,2007,Intel Xeon X5460,2007,3.16 GHz,1 - 8,4.0,4,120,,60.0,5.0
26,Intel Xeon X5460,X5460,rint2006,73.0,56,2008,Intel Xeon X5460,2007,3.16 GHz,1,4.0,4,120,,60.0,5.0
27,Intel Xeon X5570,X5570,rint2006,130.0,67,2009,Intel Xeon X5570,2009,2.93 GHz,1 - 4,4.0,8,95,,70.0,5.0
28,Intel Xeon X5650,X5650,rint2006,176.0,72,2010,Intel Xeon X5650,2010,2.66 GHz,1 - 4,6.0,12,95,,50.0,5.0
29,Intel Xeon X5680,X5680,rint2006,193.0,68,2009,Intel Xeon X5680,2010,3.33 GHz,1 - 4,6.0,12,130,,80.0,5.0
30,Intel Xeon X5680,X5680,rint2006,193.0,73,2010,Intel Xeon X5680,2010,3.33 GHz,1 - 4,6.0,12,130,,80.0,5.0
31,Intel Xeon X5680,X5680,rint2006,193.0,79,2011,Intel Xeon X5680,2010,3.46 GHz,2 - 4,6.0,12,130,,80.0,5.0
32,Intel Xeon X5690,X5690,rint2006,214.0,78,2011,Intel Xeon X5690,2011,3.46 GHz,2 - 4,6.0,12,130,,90.0,5.0
33,Intel Xeon X7560,X7560,rint2006,196.0,74,2010,Intel Xeon X7560,2010,2.27 GHz,1 - 4,8.0,16,130,,60.0,7.0
