,Benchmark,Processor,Processor MHz,perf_per_chip
12920,CINT2006rate,Intel Core i7-4650U,1700,79.5
11780,CINT2006rate,Intel Xeon 5160,3000,37.2
2427,CINT2006rate,Intel Xeon 5160,3000,30.2
2425,CINT2006rate,Intel Xeon 5160,3000,33.5
745,CINT2006rate,Intel Xeon 5160,3000,34.6
7680,CINT2006rate,Intel Xeon 5160,3000,36.2
846,CINT2006rate,Intel Xeon 5160,3000,32.7
11594,CINT2006rate,Intel Xeon 5160,3000,37.2
788,CINT2006rate,Intel Xeon 5160,3000,32.7
7877,CINT2006rate,Intel Xeon 7140M,3400,26.1
11945,CINT2006rate,Intel Xeon E5-2630,2300,224.0
11766,CINT2006rate,Intel Xeon E5-2630,2300,224.0
11705,CINT2006rate,Intel Xeon E5-2630,2300,224.0
916,CINT2006rate,Intel Xeon E5-2630,2300,218.0
953,CINT2006rate,Intel Xeon E5-2630,2300,218.0
29,CINT2006rate,Intel Xeon E5-2630,2300,223.0
9004,CINT2006rate,Intel Xeon E5-2630,2300,222.0
6211,CINT2006rate,Intel Xeon E5-2630,2300,223.0
5781,CINT2006rate,Intel Xeon E5-2630,2300,223.0
5733,CINT2006rate,Intel Xeon E5-2630,2300,223.0
5432,CINT2006rate,Intel Xeon E5-2630,2300,223.0
997,CINT2006rate,Intel Xeon E5-2630,2300,222.0
11527,CINT2006rate,Intel Xeon E5-2630,2300,224.0
11929,CINT2006rate,Intel Xeon E5-2630,2300,224.0
5129,CINT2006rate,Intel Xeon E5-2630,2300,224.0
57,CINT2006rate,Intel Xeon E5-2630,2300,223.0
97,CINT2006rate,Intel Xeon E5-2630,2300,223.0
119,CINT2006rate,Intel Xeon E5-2630,2300,223.0
13582,CINT2006rate,Intel Xeon E5-2630 v2,2600,260.0
13544,CINT2006rate,Intel Xeon E5-2630 v2,2600,260.0
13173,CINT2006rate,Intel Xeon E5-2630 v2,2600,260.0
6979,CINT2006rate,Intel Xeon E5-2630 v3,2400,360.0
13605,CINT2006rate,Intel Xeon E5-2630 v3,2400,359.0
13645,CINT2006rate,Intel Xeon E5-2630 v3,2400,359.0
5498,CINT2006rate,Intel Xeon E5-2630 v3,2400,364.0
13896,CINT2006rate,Intel Xeon E5-2630 v3,2400,360.0
13267,CINT2006rate,Intel Xeon E5-2630 v3,2400,355.0
13908,CINT2006rate,Intel Xeon E5-2630 v4,2200,436.0
13751,CINT2006rate,Intel Xeon E5-2630 v4,2200,436.0
13283,CINT2006rate,Intel Xeon E5-2630 v4,2200,435.0
13738,CINT2006rate,Intel Xeon E5-2630 v4,2200,436.0
13705,CINT2006rate,Intel Xeon E5-2630 v4,2200,436.0
13691,CINT2006rate,Intel Xeon E5-2630 v4,2200,436.0
13512,CINT2006rate,Intel Xeon E5-2630L,2000,202.0
13155,CINT2006rate,Intel Xeon E5-2630L,2000,202.0
5784,CINT2006rate,Intel Xeon E5-2630L,2000,202.0
5735,CINT2006rate,Intel Xeon E5-2630L,2000,201.0
5132,CINT2006rate,Intel Xeon E5-2630L,2000,202.0
5434,CINT2006rate,Intel Xeon E5-2630L,2000,201.0
6214,CINT2006rate,Intel Xeon E5-2630L,2000,202.0
13484,CINT2006rate,Intel Xeon E5-2630L,2000,202.0
9006,CINT2006rate,Intel Xeon E5-2630L,2000,201.0
13545,CINT2006rate,Intel Xeon E5-2630L v2,2400,237.0
13583,CINT2006rate,Intel Xeon E5-2630L v2,2400,237.0
13607,CINT2006rate,Intel Xeon E5-2630L v3,1800,304.0
13269,CINT2006rate,Intel Xeon E5-2630L v3,1800,300.0
13187,CINT2006rate,Intel Xeon E5-2630L v3,1800,292.0
11540,CINT2006rate,Intel Xeon E5-2670,2600,325.0
5802,CINT2006rate,Intel Xeon E5-2670,2600,330.0
5452,CINT2006rate,Intel Xeon E5-2670,2600,329.0
6231,CINT2006rate,Intel Xeon E5-2670,2600,330.0
9025,CINT2006rate,Intel Xeon E5-2670,2600,330.0
