year,model,model_launch_year,frequency,processors,cores,threads,TDP/CPU (W),TDP-total (W)
2001, Intel Pentium III, 1999, 700 MHz, 1, , ,18,18
2001, Intel Pentium III, 1999, 1.266 GHz, 1, , ,30,30
2001, IBM RS64-III, 1999, 500 MHz, 8, 8, 8,NA,NA
2001, IBM RS64-IV, 2000, 600 MHz, 6, 12, ,15, 90
2001, IBM RS64-IV, 2000, 600 MHz, 8, 16, ,15, 120
2001, HP PA-RISC 8700, 2001, 750 MHz, 16 - 64, , ,42,NA
2001, HP PA-RISC 8600, 2000, 550 MHz, 1 - 4, , ,53,NA
2001, HP PA-RISC 8500, 1998, 440 MHz, 4 - 8, , ,42,NA
2002, Intel Pentium III, 1999, 700 MHz, 1 - 2,,,32.2,NA
2002, Intel Xeon, null, 1.6 GHz, 1 - 8,,,72,NA
2002, Intel Itanium2, 2002, 1.0 GHz, 2 -  4,,,100,NA
2002, IBM POWER4, null, 1300 MHz, 32,,,125,NA
2002, HP PA-RISC 8700, null, 750 MHz, 64,,,42,NA
2003, Intel Xeon Gallatin, 2003, 1.5 GHz, 4 - 16,,,48,NA
2003, Intel Itanium2, 2002, 1.3 GHz, 16 - 32,,,97,NA
2003, AMD Opteron 844, null, 1.8 GHz, 4,,,82,NA
2003, IBM POWER4, null, 1700 MHz, 8, 16, 16,100,NA
2003, Sun UltraSPARC III Cu, null, 1050 MHz, 8, 8, 8,80,NA
2003, Fujitsu SPARC64, null, 1.3 GHz, 64, 64, 64,NA,NA
2004, Intel Xeon Gallatin, 2003, 2.2 GHz, 16 - 32,,,65,NA
2004, Intel Itanium2, 2002, 1.3 GHz, 2 - 32,,,97,NA
2004, AMD Opteron 848, null, 2.2 GHz, 48,,,89,NA
2004, IBM POWER4+, null, 1.9 GHz, 16, 32, 32,70,NA
2004, IBM POWER5, null, 1.9 GHz, 8, 16, 32,80,NA
2005, Intel Xeon, null, 3.0 GHz, 2 - 64,,,110,NA
2005, Intel Itanium2, null, 1.6 GHz, 16 - 64,,,122,NA
2005, Sun UltraSPARC IV, null, 1350 MHz, 4, 4, 4,105,NA
2005, Sun UltraSPARC III Cu, null, 1200 MHz, 8, 8, 8,80,NA
2005, IBM POWER5, null, 1.9 GHz, 2 - 16, ,,80,NA
2005, AMD Opteron 252, null, 2.6 GHz, 2, 2, 2,92.6,NA
2006, Intel Xeon 5160, 2006, 3.0 GHz,,2,2,80,NA
2006, Intel Xeon X5355, 2006, 2.66 GHz,,4,4,120,NA
2006, Intel Xeon 7040, 2005, 3.0 GHz,,2,4,165,NA
2006, Intel Xeon 7041, 2005, 3.0 GHz,,2,4,165,NA
2006, Intel Xeon 7140M, 2006, 3.3 GHz,,2,4,150,NA
2006, Intel Xeon 7140N, 2006, 3.33 GHz,,2,4,150,NA
2006, Intel Xeon 7150N, 2006, 3.5 GHz,,2,4,150,NA
2006, Intel Itanium2, 2006, 1.6 GHz, 8 - 32,,,122,NA
