year, model, frequency, processors, cores, threads, TDP/CPU (W),TDP-total (W)
2001, Intel Pentium III, 700 MHz, 1, , ,18,18
2001, Intel Pentium III, 1.266 GHz, 1, , ,30,30
2001, IBM RS64-III, 500 MHz, 8, 8, 8,NA
2001, IBM RS64-IV, 600 MHz, 6, 12, ,15, 90
2001, IBM RS64-IV, 600 MHz, 8, 16, ,15, 120
2001, HP PA-RISC 8700, 750 MHz, 16 - 64, , ,42
2001, HP PA-RISC 8600, 550 MHz, 1 - 4, , ,53
2001, HP PA-RISC 8500, 440 MHz, 4 - 8, , ,42
2002, Intel Pentium III, 700 MHz, 1 - 2,,,32.2
2002, Intel Xeon, 1.6 GHz, 1 - 8,,,72
2002, Intel Itanium2, 1.0 GHz, 2 -  4,,,100
2002, IBM POWER4, 1300 MHz, 32,,,125
2002, HP PA-RISC 8700, 750 MHz, 64,,,42
2003, Intel Xeon Gallatin, 1.5 GHz, 4 - 16,,,48
2003, Intel Itanium2, 1.3 GHz, 16 - 32,,,97
2003, AMD Opteron 844, 1.8 GHz, 4,,,82
2003, IBM POWER4, 1700 MHz, 8, 16, 16,100
2003, Sun UltraSPARC III Cu, 1050 MHz, 8, 8, 8,80
2003, Fujitsu SPARC64, 1.3 GHz, 64, 64, 64,NA
2004, Intel Xeon Gallatin, 2.2 GHz, 16 - 32,,,65
2004, Intel Itanium2, 1.3 GHz, 2 - 32,,,97
2004, AMD Opteron 848, 2.2 GHz, 48,,,89
2004, IBM POWER4+, 1.9 GHz, 16, 32, 32,70
2004, IBM POWER5, 1.9 GHz, 8, 16, 32,80
2005, Intel Xeon, 3.0 GHz, 2 - 64,,,110
2005, Intel Itanium2, 1.6 GHz, 16 - 64,,,122
2005, Sun UltraSPARC IV, 1350 MHz, 4, 4, 4,105
2005, Sun UltraSPARC III Cu, 1200 MHz, 8, 8, 8,80
2005, IBM POWER5, 1.9 GHz, 2 - 16, ,,80
2005, AMD Opteron 252, 2.6 GHz, 2, 2, 2,92.6
2006, Intel Xeon 5160, 3.0 GHz,,2,2,80
2006, Intel Xeon X5355, 2.66 GHz,,4,4,120
2006, Intel Xeon 7040, 3.0 GHz,,2,4,165
2006, Intel Xeon 7041, 3.0 GHz,,2,4,165
2006, Intel Xeon 7140M, 3.3 GHz,,2,4,150
2006, Intel Xeon 7140N, 3.33 GHz,,2,4,150
2006, Intel Xeon 7150N, 3.5 GHz,,2,4,150
2006, Intel Itanium2, 1.6 GHz, 8 - 32,,,122
2006, AMD Opteron 8220SE, 2.8 GHz,,2,2,119
2006, AMD Opteron 252, 2.6 GHz,,1,1,92.6
2006, AMD Opteron 2220, 2.8 GHz,,2,2,95
2006, IBM POWER5+, 2.3 GHz,,2,4,NA
2006, Sun UltraSPARC IV+, 1500 MHz, 4, 4, 4,90
2007, Intel Xeon E5320, 1.86 GHz, 1 - 8,4,4,80
2007, Intel Xeon E5345, 2.33 GHz, 1 - 8,4,4,80
2007, Intel Xeon X5355, 2.66 GHz, 1 - 8,4,4,120
2007, Intel Xeon X5365, 3 GHz, 1 - 8,4,4,150
2007, Intel Xeon X5460, 3.16 GHz, 1 - 8,4,4,120
2007, Intel Xeon 7150N, 3.5 GHz, 1 - 8,2,4,150
2007, Intel Xeon X7350, 2.93 GHz, 1 - 8,4,4,130
2007, Intel Itanium2 9140N, 1.6 GHz, 4 - 32,2,4,104
2007, IBM POWER6, 4.7 GHz, 2 - 8,2,4,160
2007, IBM POWER5+, 2.2 GHz,1,2,4,NA
2008, Intel Xeon E5420, 2.5 GHz,1,4,4,80
2008, Intel Xeon X5365, 3.0 GHz,1,4,4,150
2008, Intel Xeon X5440, 2.83 GHz,1,4,4,80
2008, Intel Xeon X5460, 3.16 GHz,1,4,4,120
2008, Intel Xeon X7350, 2.93 GHz,1,4,4,130
2008, Intel Xeon X7460, 2.66 GHz,1,6,6,130
2008, Intel Itanium2, 1.6 GHz, 4 - 32,2,4,104
2008, Intel Itanium 9150M, 1.66 GHz, 16 -32,2,4,104
2008, AMD Opteron 8356, 2.3 GHz, 2 - 4,4,4,95-115
2008, AMD Opteron 8360, 2.5 GHz, 2 - 4,4,4,137
2008, AMD Opteron 8384, 2.7 GHz, 2 - 4,4,4,115
2008, IBM POWER6, 4.7 GHz, 4 - 32,2,4,160
2009, Intel Xeon E5520, 2.26 GHz, 1 - 4,4,8,80
2009, Intel Xeon X5440, 2.83 GHz, 1 - 4,4,4,80
2009, Intel Xeon X5570, 2.93 GHz, 1 - 4,4,8,95
