,year,model,model_launch_year,frequency,processors,cores,threads,TDP/CPU (W),TDP-total (W),performance_id,sku_level
9,2002, Intel Xeon, null,1.6 GHz,1 - 8,,,72,,,
13,2003, Intel Xeon Gallatin,2003,1.5 GHz,4 - 16,,,48,,,
19,2004, Intel Xeon Gallatin,2003,2.2 GHz,16 - 32,,,65,,,
24,2005, Intel Xeon, null,3.0 GHz,2 - 64,,,110,,,
30,2006,Intel Xeon 5160,2006,3.0 GHz,,2,2,80,,60,5.0
31,2006,Intel Xeon X5355,2006,2.66 GHz,,4,4,120,,55,5.0
32,2006,Intel Xeon 7040,2005,3.0 GHz,,2,4,165,,40,7.0
33,2006,Intel Xeon 7041,2005,3.0 GHz,,2,4,165,,41,7.0
34,2006,Intel Xeon 7140M,2006,3.3 GHz,,2,4,150,,40,7.0
35,2006,Intel Xeon 7140N,2006,3.33 GHz,,2,4,150,,40,7.0
36,2006,Intel Xeon 7150N,2006,3.5 GHz,,2,4,150,,50,7.0
43,2007,Intel Xeon E5320,2006,1.86 GHz,1 - 8,4,4,80,,20,5.0
44,2007,Intel Xeon E5345,2006,2.33 GHz,1 - 8,4,4,80,,45,5.0
45,2007,Intel Xeon X5355,2006,2.66 GHz,1 - 8,4,4,120,,55,5.0
46,2007,Intel Xeon X5365,2007,3 GHz,1 - 8,4,4,150,,65,5.0
47,2007,Intel Xeon X5460,2007,3.16 GHz,1 - 8,4,4,120,,60,5.0
48,2007,Intel Xeon 7150N,2007,3.5 GHz,1 - 8,2,4,150,,50,7.0
49,2007,Intel Xeon X7350,2007,2.93 GHz,1 - 8,4,4,130,,50,7.0
53,2008,Intel Xeon E5420,2007,2.5 GHz,1,4,4,80,,20,5.0
54,2008,Intel Xeon X5365,2007,3.0 GHz,1,4,4,150,,65,5.0
55,2008,Intel Xeon X5440,2008,2.83 GHz,1,4,4,80,,40,5.0
56,2008,Intel Xeon X5460,2007,3.16 GHz,1,4,4,120,,60,5.0
57,2008,Intel Xeon X7350,2007,2.93 GHz,1,4,4,130,,50,7.0
58,2008,Intel Xeon X7460,2008,2.66 GHz,1,6,6,130,,60,7.0
65,2009,Intel Xeon E5520,2009,2.26 GHz,1 - 4,4,8,80,,20,5.0
66,2009,Intel Xeon X5440,2008,2.83 GHz,1 - 4,4,4,80,,40,5.0
67,2009,Intel Xeon X5570,2009,2.93 GHz,1 - 4,4,8,95,,70,5.0
68,2009,Intel Xeon X5680,2010,3.33 GHz,1 - 4,6,12,130,,80,5.0
69,2009,Intel Xeon X7460,2008,2.66 GHz,1 - 4,6,6,130,,60,7.0
72,2010,Intel Xeon X5650,2010,2.66 GHz,1 - 4,6,12,95,,50,5.0
73,2010,Intel Xeon X5680,2010,3.33 GHz,1 - 4,6,12,130,,80,5.0
74,2010,Intel Xeon X7560,2010,2.27 GHz,1 - 4,8,16,130,,60,7.0
78,2011,Intel Xeon X5690,2011,3.46 GHz,2 - 4,6,12,130,,90,5.0
79,2011,Intel Xeon X5680,2010,3.46 GHz,2 - 4,6,12,130,,80,5.0
80,2011,Intel Xeon E7-8870,2011,2.4 GHz,2 - 4,10,20,130,,70,8.0
83,2012,Intel Xeon E5-2690,2012,2.90 GHz,2,16,32,135,270.0,90,2.0
84,2012,Intel Xeon E5-4650,2012,2.70 GHz,4,32,32,130,520.0,50,4.0
85,2012,Intel Xeon E7-8870,2011,2.40 GHz,8,80,160,130,1030.0,70,8.0
86,2013,Intel Xeon E5-2680,2012,2.70GHz,8,64,128,130,1040.0,80,2.0
87,2013,Intel Xeon E5-2690,2012,2.90 GHz,2,16,32,130,260.0,90,2.0
90,2014,Intel Xeon E7-8890 v2,2014,2.80 GHz,4,60,60,155,620.0,90,8.0
91,2014,Intel Xeon E7-8891 v2,2014,3.2 GHz,4,40,80,155,620.0,91,8.0
92,2014,Intel Xeon E5-2690 v2,2013,3.0 GHz,2,20,40,130,260.0,90,2.0
93,2014,Intel Xeon E7-8891 v2,2014,3.2 GHz,4,40,80,155,620.0,91,8.0
94,2014,Intel Xeon E5-2699 v3,2014,2.30 GHz,2,36,72,145,290.0,99,2.0
95,2014,Intel Xeon E5-2680 v2,2013,2.80 GHz,40,400,800,115,4600.0,80,2.0
96,2014,Intel Xeon E7-4890 v2,2014,2.80 GHz,4,60,120,155,620.0,90,4.0
97,2014,Intel Xeon E5-2670 v2,2013,2.5GHz,2,20,40,115,230.0,70,2.0
98,2016,Intel Xeon E5-2699 v3,2014,2.30 GHz,2,36,72,145,290.0,99,2.0
99,2016,Intel Xeon E5-2699 v4,2016,2.20 GHz,2,44,88,145,290.0,99,2.0
100,2017,Intel Xeon E5-2699 v4,2016,2.20 GHz,2,44,88,145,290.0,99,2.0
101,2017,Intel Xeon Platinum 8180,2017,2.50GHz,2,56,112,205,410.0,80,8.0
102,2017,Intel Xeon E5-2630 v3,2014,2.40 GHz,2,16,16,85,170.0,30,2.0
103,2018,Intel Xeon Silver 4114,2017,2.20 GHz,2,20,40,85,170.0,14,4.0
104,2018,Intel Xeon Gold 6150,2017,2.70 GHz,2,36,72,165,330.0,50,6.0
105,2018,Intel Xeon Gold 6148,2017,2.40 GHz,2,40,80,150,300.0,48,6.0
106,2019,Intel Xeon Platinum 8163,2017,2.50GHz,420,6720,13440,165,69300.0,63,8.0
107,2019,Intel Xeon Silver 4110,2017,2.10GHz,2,16,32,85,170.0,10,4.0
108,2019,Intel Xeon Silver 4114,2017,2.20 GHz,2,20,24/40,85,170.0,14,4.0
109,2020,Intel Xeon Platinum 8163,2017,2.50GHz,3114,65394,130788,165,513810.0,63,8.0
111,2020,Intel Xeon Silver 4210,2019,2.20GHz,2,20,40,85,170.0,10,4.0
112,2021,Intel Xeon Gold 6258R,2020,2.70GHz,2,56,112,205,410.0,58,6.0
113,2021,Intel Xeon Gold 6354 CPU,2021,3.00GHz,2,36,72,205,410.0,54,6.0
114,2022,Intel Xeon Gold 6354 CPU,2021,3.00GHz,2,36,72,205,410.0,54,6.0
