Result ID,Short ID,Company,System,Spec. Revision,Scale Factor,QphH,Price Perf,Total Sys. Cost,Currency,Database Software,Operating System,CPU Type,# CPU's,Total Processors,Total Cores,Total Threads,Cluster,Date Submitted,Active Expiration Date,Availability Date,Withdrawn,Date Withdrawn,Watts/KqphH,Average Power of REC,Idle Power of REC,Lowest Temp at Inlet,DB-Server Watts per KqphH,DB-Server Full Power Avg Watts,DB-Server Full Power %,DB-Server Idle Power Avg Watts,DB-Server Idle Power %,Storage Watts per KqphH,Storage Full Power Avg Watts,Storage Full Power %,Storage Idle Power Avg Watts,Storage Idle Power %,App-Server Watts per KqphH,App-Server Full Power Avg Watts,App-Server Full Power %,App-Server Idle Power Avg Watts,App-Server Idle Power %,Misc Watts per KqphH,Misc Full Power Avg Watts,Misc Full Power %,Misc Idle Power Avg Watts,Misc Idle Power %,Total Full Power Avg Watts,Total Idle Power Avg Watts
107031202,3195,Bull                ,NovaScale 3045                                    ,2.5.0     ,1000,12087.4,12.56,151870,USD,Microsoft SQL Server 2005 Enterprise Edition Itanium SP1                                                                                                                                                                                                       ,Microsoft Windows Server 2003 Datacenter Edition Itanium SP1                                                                                                                                                                                                   ,Intel Itanium2 Dual-Core - 1.6 GHz                                                                                                                                                                                                                             ,4,4,8,16,N,3/6/2007,10/27/2013 9:16:00 PM,3/6/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106020201,3168,Bull                ,NovaScale 6320                                    ,2.3.0     ,1000,34987.5,38.41,1343811,USD,Oracle Database 10g R2 Enterprise Edition                                                                                                                                                                                                                      ,SUSE LINUX  SLES9 SP2 for IPF                                                                                                                                                                                                                                  ,Intel Itanium2 Dual-Core - 1.6 GHz                                                                                                                                                                                                                             ,32,32,32,32,N,2/2/2006,4/27/2013,2/2/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105110701,3156,Bull                ,NovaScale 5160                                    ,2.1.0     ,1000,17059.8,25.48,434553,USD,Microsoft SQL Server 2005 Enterprise Edition 64bit                                                                                                                                                                                                             ,Microsoft Windows Server 2003 Datacenter Edition                                                                                                                                                                                                               ,Intel Itanium2 Dual-Core - 1.6 GHz                                                                                                                                                                                                                             ,16,16,16,16,N,11/4/2005,10/27/2013 9:16:00 PM,5/8/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105070501,3141,Bull                ,NovaScale 5160                                    ,2.1.0     ,1000,13769,32.29,444483,USD,Microsoft SQL Server 2005 Enterprise Edition 64bit                                                                                                                                                                                                             ,Microsoft Windows Server 2003 Datacenter Edition                                                                                                                                                                                                               ,Intel Itanium2 Dual-Core - 1.6 GHz                                                                                                                                                                                                                             ,16,16,16,16,N,7/5/2005,10/27/2013 9:16:00 PM,12/7/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105062001,3139,Bull                ,NovaScale 5160                                    ,2.1.0     ,1000,15069.9,44.32,667962,USD,Oracle Database 10g R2 Enterprise Edition                                                                                                                                                                                                                      ,Microsoft Windows Server 2003 Datacenter Edition                                                                                                                                                                                                               ,Intel Itanium2 Dual-Core - 1.6 GHz                                                                                                                                                                                                                             ,16,16,16,16,N,6/20/2005,4/27/2013,12/20/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105060602,3136,Bull                ,NovaScale 5160                                    ,2.1.0     ,1000,12865.4,43.9,564843,USD,Microsoft SQL Server 2005 Enterprise Edition 64bit                                                                                                                                                                                                             ,Microsoft Windows Server 2003 Datacenter Edition                                                                                                                                                                                                               ,Intel Itanium2 Dual-Core - 1.6 GHz                                                                                                                                                                                                                             ,16,16,16,16,N,6/6/2005,4/27/2013,11/8/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108040201,3220,CPI                 ,CPI Phoenix IQ-201                                ,2.6.2     ,300,547205.4,1.05,574565,USD,EXASOL EXASolution 2.0                                                                                                                                                                                                                                         ,EXASOL EXACluster OS 1.3                                                                                                                                                                                                                                       ,Intel Xeon X5365 Quad-Core - 3.00 GHz                                                                                                                                                                                                                          ,26,52,208,208,Y,4/2/2008,10/27/2013 9:16:00 PM,4/2/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108011401,3216,CPI                 ,CPI Phoenix IQ-201                                ,2.6.0     ,100,209298.9,1.25,261623,USD,EXASOL EXASolution 2.0                                                                                                                                                                                                                                         ,EXASOL EXACluster OS 1.3                                                                                                                                                                                                                                       ,Intel Xeon X5365 Quad-Core - 3.00 GHz                                                                                                                                                                                                                          ,2,24,96,96,Y,1/14/2008,10/27/2013 9:16:00 PM,1/14/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118061201,3332,Cisco               ,Cisco UCS C240 M5                                 ,2.17.3    ,3000,1029593.5,0.47,481900.98,USD,Microsoft SQL Server 2017 Enterprise Edition                                                                                                                                                                                                                   ,Red Hat Enterprise Linux Server 7.3                                                                                                                                                                                                                            ,Intel Xeon Platinum 8180 2.50GHz                                                                                                                                                                                                                               ,1,2,56,112,N,6/12/2018,6/13/2021,6/12/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116112801,3326,Cisco               ,Cisco UCS C460 M4 Server                          ,2.17.1    ,10000,1115298,0.87,960172,USD,Microsoft SQL Server 2016 Enterprise Edition                                                                                                                                                                                                                   ,Microsoft Windows Server 2016 Standard Edition                                                                                                                                                                                                                 ,Intel Xeon E7-8890 v4 2.20 GHz                                                                                                                                                                                                                                 ,1,4,96,192,N,11/28/2016,11/29/2019,11/28/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
